sim mode,gamma,epsilon,beta,seed,mean lifetime,
hi,0.001,0.85,0.50794,2,1123,
hi,0.001,0.85,0.50794,3,1123,
hi,0.001,0.85,0.50794,4,1123,
hi,0.001,0.85,0.50794,5,1123,
hi,0.001,0.85,0.50794,6,1123,
hi,0.001,0.85,0.50794,7,1123,
hi,0.001,0.85,0.50794,8,1123,
hi,0.001,0.85,0.50794,9,1123,
hi,0.001,0.9,0.2868,0,1123,
hi,0.001,0.9,0.2868,1,1123,
hi,0.001,0.9,0.2868,2,1123,
hi,0.001,0.9,0.2868,3,1123,
hi,0.001,0.9,0.2868,4,1123,
hi,0.001,0.9,0.2868,5,1123,
hi,0.001,0.9,0.2868,6,1123,
hi,0.001,0.9,0.2868,7,1123,
hi,0.001,0.9,0.2868,8,1123,
hi,0.001,0.9,0.2868,9,1123,
hi,0.01,0.5,103.09278,0,1175,
hi,0.01,0.5,103.09278,1,1175,
hi,0.01,0.5,103.09278,2,1175,
hi,0.01,0.5,103.09278,3,1145,
hi,0.01,0.5,103.09278,4,1123,
hi,0.01,0.5,103.09278,5,1175,
hi,0.01,0.5,103.09278,6,1175,
hi,0.01,0.5,103.09278,7,1175,
hi,0.01,0.5,103.09278,8,1145,
hi,0.01,0.5,103.09278,9,1175,
hi,0.01,0.6,16.55629,0,1175,
hi,0.01,0.6,16.55629,1,1175,
hi,0.01,0.6,16.55629,2,1145,
hi,0.01,0.6,16.55629,3,1145,
hi,0.01,0.6,16.55629,4,1123,
hi,0.01,0.6,16.55629,5,1175,
hi,0.01,0.6,16.55629,6,1175,
hi,0.01,0.6,16.55629,7,1175,
hi,0.01,0.6,16.55629,8,1145,
hi,0.01,0.6,16.55629,9,1145,
hi,0.01,0.7,3.54107,0,1175,
hi,0.01,0.7,3.54107,1,1175,
hi,0.01,0.7,3.54107,2,1145,
hi,0.01,0.7,3.54107,3,1145,
hi,0.01,0.7,3.54107,4,1175,
hi,0.01,0.7,3.54107,5,1175,
hi,0.01,0.7,3.54107,6,1145,
hi,0.01,0.7,3.54107,7,1175,
hi,0.01,0.7,3.54107,8,1165,
hi,0.01,0.7,3.54107,9,1175,
hi,0.01,0.75,1.77588,0,1175,
hi,0.01,0.75,1.77588,1,1175,
hi,0.01,0.75,1.77588,2,1145,
hi,0.01,0.75,1.77588,3,1145,
hi,0.01,0.75,1.77588,4,1175,
hi,0.01,0.75,1.77588,5,1175,
hi,0.01,0.75,1.77588,6,1145,
hi,0.01,0.75,1.77588,7,1175,
hi,0.01,0.75,1.77588,8,1165,
hi,0.01,0.75,1.77588,9,1175,
hi,0.01,0.8,0.93135,0,1173,
hi,0.01,0.8,0.93135,1,1175,
hi,0.01,0.8,0.93135,2,1145,
hi,0.01,0.8,0.93135,3,1145,
hi,0.01,0.8,0.93135,4,1175,
hi,0.01,0.8,0.93135,5,1175,
hi,0.01,0.8,0.93135,6,1145,
hi,0.01,0.8,0.93135,7,1175,
hi,0.01,0.8,0.93135,8,1165,
hi,0.01,0.8,0.93135,9,1173,
hi,0.01,0.85,0.50794,0,1175,
hi,0.01,0.85,0.50794,1,1175,
hi,0.01,0.85,0.50794,2,1165,
hi,0.01,0.85,0.50794,3,1145,
hi,0.01,0.85,0.50794,4,1175,
hi,0.01,0.85,0.50794,5,1145,
hi,0.01,0.85,0.50794,6,1145,
hi,0.01,0.85,0.50794,7,1175,
hi,0.01,0.85,0.50794,8,1165,
hi,0.01,0.85,0.50794,9,1173,
hi,0.01,0.9,0.2868,0,1173,
hi,0.01,0.9,0.2868,1,1175,
hi,0.01,0.9,0.2868,2,1165,
hi,0.01,0.9,0.2868,3,1145,
hi,0.01,0.9,0.2868,4,1175,
hi,0.01,0.9,0.2868,5,1145,
hi,0.01,0.9,0.2868,6,1145,
hi,0.01,0.9,0.2868,7,1175,
hi,0.01,0.9,0.2868,8,1165,
hi,0.01,0.9,0.2868,9,1173,
hi,0.1,0.5,103.09278,0,1173,
hi,0.1,0.5,103.09278,1,1173,
hi,0.1,0.5,103.09278,2,1173,
hi,0.1,0.5,103.09278,3,1165,
hi,0.1,0.5,103.09278,4,1173,
hi,0.1,0.5,103.09278,5,1173,
hi,0.1,0.5,103.09278,6,1173,
hi,0.1,0.5,103.09278,7,1173,
hi,0.1,0.5,103.09278,8,1165,
hi,0.1,0.5,103.09278,9,1173,
hi,0.1,0.6,16.55629,0,1173,
hi,0.1,0.6,16.55629,1,1173,
hi,0.1,0.6,16.55629,2,1173,
hi,0.1,0.6,16.55629,3,1165,
hi,0.1,0.6,16.55629,4,1173,
hi,0.1,0.6,16.55629,5,1173,
hi,0.1,0.6,16.55629,6,1173,
hi,0.1,0.6,16.55629,7,1173,
hi,0.1,0.6,16.55629,8,1165,
hi,0.1,0.6,16.55629,9,1173,
hi,0.1,0.7,3.54107,0,1173,
hi,0.1,0.7,3.54107,1,1145,
hi,0.1,0.7,3.54107,2,1173,
hi,0.1,0.7,3.54107,3,1165,
hi,0.1,0.7,3.54107,4,1173,
hi,0.1,0.7,3.54107,5,1173,
hi,0.1,0.7,3.54107,6,1145,
hi,0.1,0.7,3.54107,7,1173,
hi,0.1,0.7,3.54107,8,1165,
hi,0.1,0.7,3.54107,9,1173,
hi,0.1,0.75,1.77588,0,1173,
hi,0.1,0.75,1.77588,1,1145,
hi,0.1,0.75,1.77588,2,1173,
hi,0.1,0.75,1.77588,3,1165,
hi,0.1,0.75,1.77588,4,1173,
hi,0.1,0.75,1.77588,5,1173,
hi,0.1,0.75,1.77588,6,1173,
hi,0.1,0.75,1.77588,7,1173,
hi,0.1,0.75,1.77588,8,1165,
hi,0.1,0.75,1.77588,9,1173,
hi,0.1,0.8,0.93135,0,1173,
hi,0.1,0.8,0.93135,1,1145,
hi,0.1,0.8,0.93135,2,1173,
hi,0.1,0.8,0.93135,3,1165,
hi,0.1,0.8,0.93135,4,1173,
hi,0.1,0.8,0.93135,5,1173,
hi,0.1,0.8,0.93135,6,1173,
hi,0.1,0.8,0.93135,7,1173,
hi,0.1,0.8,0.93135,8,1165,
hi,0.1,0.8,0.93135,9,1173,
hi,0.1,0.85,0.50794,0,1173,
hi,0.1,0.85,0.50794,1,1145,
hi,0.1,0.85,0.50794,2,1173,
hi,0.1,0.85,0.50794,3,1165,
hi,0.1,0.85,0.50794,4,1173,
hi,0.1,0.85,0.50794,5,1173,
hi,0.1,0.85,0.50794,6,1145,
hi,0.1,0.85,0.50794,7,1173,
hi,0.1,0.85,0.50794,8,1165,
hi,0.1,0.85,0.50794,9,1173,
hi,0.1,0.9,0.2868,0,1173,
hi,0.1,0.9,0.2868,1,1173,
hi,0.1,0.9,0.2868,2,1173,
hi,0.1,0.9,0.2868,3,1165,
hi,0.1,0.9,0.2868,4,1173,
hi,0.1,0.9,0.2868,5,1173,
hi,0.1,0.9,0.2868,6,1173,
hi,0.1,0.9,0.2868,7,1173,
hi,0.1,0.9,0.2868,8,1165,
hi,0.1,0.9,0.2868,9,1173,
hi,0.2,0.5,103.09278,0,1154,
hi,0.2,0.5,103.09278,1,1145,
hi,0.2,0.5,103.09278,2,1145,
hi,0.2,0.5,103.09278,3,1165,
hi,0.2,0.5,103.09278,4,1145,
hi,0.2,0.5,103.09278,5,1145,
hi,0.2,0.5,103.09278,6,1145,
